  CveAct;Catalogo  ;No Inv ;Año ;Descripción                                   ;    CveAds; NumSerie    ; CveBaja
  4641; C870000062;00000;00 ;SIMMS DE MEMORIA 32 MB C/ BOLSA CON 2 PIES SON 64 MB MARCA RICHMOND MODELO RCAS 4150 ESO SNTELDING;   Z03   ;?           ;    0  ;
  675; I180000004;00003;94 ;DE COMUNICACIONES, MARCA SME, MODELO ELITE 3512, COLOR ARENA, NUMERO DE SERIE: K242140497. ACUERDO 9862;   Z11990;K242140497  ;    0  ;
  2836; I180000004;00003;94 ;DE COMUNICACIONES MARCA SME MODELO ELITE 3512 COLOR ARENA NUMERO DE SERIE: K242140497;   00000 ;K242140497  ;   10  ;
  4612; I180000004;00007;00 ;PARA DELEGACIONES MARCA 3 COM MODELO PS-HUB 50 DE 24 PUERTOS NUMERO DE SERIE: 7YCRBOD9B7;   00000 ;7YCRBOD9B7  ;   10  ;
  15982; I180000004;00007;00 ;PARA DELEGACIONES MARCA 3 COM, MODELO PS-HUB 50 DE 24 PUERTOS, NUMERO DE SERIE: TYCRBOD9B7.;   00000 ;TYCRBOD9BT  ;   10  ;
  5192; I180000004;00046;99 ;PARA DELEGACIONES ETHERNET LOBASE T DE 8 PUERTOS RJ45 UN PUERTO BNC, MARCA 3 COM MODELO OFFICE CONNECT HUB 8/TPC 3C 167014, NUMERO DE SERIE: KH6S0002EB.;   00000 ;KH6S0002EB  ;   10  ;
  15983; I180000004;00046;99 ;PARA DELEGACIONES ETHERNET LOBASE T DE 8 PUERTOS RJ45, UN PUERTO BNC, MARCA 3 COMM, MODELO OFFICE CONNECT HUB 8/TPC 3C 167014, NUMERO DE SERIE: KH6S0002EB.;   Z10   ;KHS0002EB   ;   10  ;
  5193; I180000004;00047;99 ;PARA DELEGACIONES ETHERNET LOBASE T DE 8 PUERTOS RJ45 UN PUERTO BNC, MARCA 3 COM MODELO OFFICE CONNECT HUB 8/TPC 3C 167014, NUMERO DE SERIE: KH6S000255.;   00000 ;KH6S000255  ;   10  ;
  15984; I180000004;00047;99 ;PARA DELEGACIONES ETHERNET LOBASE T DE 8 PUERTOS RJ45, UN PUERTO BNC, MARCA 3 COMM, MODELO OFFICE CONNECT HUB 8/TPC 3C 167014, NUMERO DE SERIE: KH6S000255.;   00000 ;KHS000255   ;   10  ;
  4597; I180000004;00107;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6FO05885;   00000 ;02007H6FO05885;   10  ;
  15985; I180000004;00107;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005885.;   00000 ;02007H6F005885;   10  ;
  4598; I180000004;00108;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6FOO5853;   00000 ;02007H6FOO5853;   10  ;
  15988; I180000004;00108;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB,CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005853.;   Z10   ;02007H6F005853;   10  ;
  4599; I180000004;00109;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005995;   00000 ;02007H6F005995;   10  ;
  15989; I180000004;00109;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB,CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005995.;   Z10   ;02007H6F005995;   10  ;
  4600; I180000004;00110;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6FOO6035;   00000 ;02007H6FOO6035;   10  ;
  15990; I180000004;00110;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB,CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F006035.;   00000 ;02007H6F006035;   10  ;
  4601; I180000004;00111;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005794;   00000 ;02007H6F005794;   10  ;
  15991; I180000004;00111;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005794.;   00000 ;02007H6F005794;   10  ;
  4602; I180000004;00112;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005752;   00000 ;02007H6F005752;   10  ;
  15992; I180000004;00112;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005752.;   00000 ;02007H6F005752;   10  ;
  4603; I180000004;00113;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005866;   00000 ;02007H6F005866;   10  ;
  15993; I180000004;00113;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005866.;   00000 ;02007H6F005866;   10  ;
