  CveAds;cDescripcion                       ;cResponsable              ; cDomicilio               ;cColonia   ;cPoblacion ; cCodPostal;cTelefono;TipoAdsc
  00000;PROCESO DE BAJA                    ;                          ;                          ;           ;           ;      ;0000000000;D
  11110;DELEGACION ( OFICINA DELEGADO )    ;LIC. JORGE ALBERTO CALERO GARCIA; BLVD. ADOLFO LOPEZ MATEOS No. 913 PTE;ZONA CENTRO;CELAYA     ; 38040;6146161805;D
  11120;COORDINACION REGIONAL "B"          ;CARLOS ALBERTO CORDOVA    ;                          ;           ;           ;      ;      ;D
  11130;COORDINACION REGIONAL "A"          ;SRRGIO ISMAEL LOPEZ RUIZ  ;                          ;           ;           ;      ;      ;D
  11200;DEPTO. DE PLANEACION Y SEG. OPERATIVO;JOSE IGNACIO REYES MANCILLA;                          ;           ;CELAYA     ; 38010;      ;D
  11220;OFNA. DE PROGRAMACION Y PRESUPUESTO;CLAUDIA NIETO AGUILERA    ;                          ;           ;CELAYA, GTO;      ;      ;D
  11230;OFNA. DE EVALUACION INFORMACION Y SEGUI.;C. JOSE LUIS PATI^O CABRERA.;                          ;           ;           ;      ;      ;D
  11300;DEPTO. DE SERVICIOS EDUCATIVOS     ;FIDEL DE LUCIO VARGAS     ; BLVD. ADOLFO LOPEZ MATEOS NO. 913 PTE;ZONA CENTRO;CELAYA, GTO.; 38040;      ;D
  11310;ALFABETIZACION, PRIMARIA Y SECUNDARIA;                          ;                          ;           ;           ;      ;      ;D
  11340;EDUCACION COM. Y CAPACITACION P/TRABAJO;                          ;                          ;           ;           ;      ;      ;D
  11350;FORMACION DE PERSONAL DOCENTE      ;PROF. FIDEL DE LUCIO VARGAS.;                          ;           ;           ;      ;      ;D
  11401;OFNA. DE CONCERTACION Y DIFUSION   ;ADOLFO MANRIQUEZ MENDEZ   ; BLVD. A.L.M. 913 PTE.    ;ZONA CENTRO;CELAYA     ; 38040;0146150528;D
  11700;COORD. DE ZONA #1, LEON, GTO.      ;ARIADNE LEAL GONZALEZ     ; betovhen                 ;LEON MODERNO;LEON, GTO. ;      ;      ;C
  11701;COORD. DE ZONA #2, CELAYA, GTO.    ;RENATO LICON ARANDA       ;                          ;           ;           ;      ;      ;C
  11702;COORD. DE ZONA #3, IRAPUATO, GTO.  ;DIANA NAVARRO DIAZ        ;                          ;           ;           ;      ;      ;C
  11703;COORD. DE ZONA #4, ACAMBARO, GTO.  ;PROF. JUAN MANUEL FLORES GARCIA.;                          ;           ;           ;      ;      ;C
  11704;COORD. DE ZONA #5, VALLE DE SANTIAGO,GTO;ROBERTO ROA VELAZQUEZ     ;                          ;           ;           ;      ;      ;C
  11705;COORD. DE ZONA #6,SAN LUIS DE LA PAZ,GTO;LIC. FRANCISCO SANCHEZ RODRIGUEZ.;                          ;           ;           ;      ;      ;C
  11706;COORD. DE ZONA #7, DOLORES HIDALGO, GTO.;SERGIO EDUARDO OLVERA MENDEZ;                          ;           ;           ;      ;      ;C
  11707;COORD. DE ZONA #8, PENJAMO, GTO.   ;SUSANA RAMIREZ CALDERON   ;                          ;           ;           ;      ;      ;C
  11708;COORD. DE ZONA #9, MANUEL DOBLADO, GTO.;JUAN DIEGO CASTELLANO TORRES;                          ;           ;           ;      ;      ;C
  11709;COORD. DE ZONA #10, GUANAJUATO, GTO.;ING. SALVADOR CANO VARGAS ;                          ;           ;           ;      ;      ;C
  11710;COORD. DE ZONA #11, LEON, GTO.     ;MA. LOURDES MENDOZA RAMIREZ;                          ;           ;           ;      ;      ;C
  11711;COORD. DE ZONA #12,SALAMANCA, GTO. ;LIC. ROBERTO ROA VELAZQUEZ.;                          ;           ;           ;      ;      ;C
  11712;COORD. DE ZONA #13 YURIRIA, GTO.   ;VICTOR TREVIÑO CASCINO    ;                          ;           ;YURIRIA    ;      ;      ;C
  11713;COORD. DE ZONA #14, CELAYA,GTO.    ;JOSE JORGE PEÑAFLOR RAMIREZ; ALBINO GARCIA NO. 124    ;ZONA CENTRO;CELAYA, GTO.; 38000;      ;C
  11714;COORD. DE ZONA #15, LEON, GTO.     ;LIC. ALEJANDRA OREGEL MARTINEZ.;                          ;           ;LEON, GTO  ;      ;      ;C
  11800;DEPTO. DE ACREDITACION             ;VLADIMIR IOSIF GARCIA CASTRO;                          ;           ;           ;      ;      ;D
  11830;OFNA. DE ACREDITACION              ;                          ;                          ;           ;           ;      ;      ;D
  11831;OFICINA SINDICATO                  ;FERNANDO FLORES GARCIA    ;                          ;           ;           ;      ;0000000000;D
  11840;APOYO LOGISTICO                    ;                          ;                          ;           ;           ;      ;      ;D
  11850;UNIDAD DE INFORMATICA              ;ING. RICARDO E. GARCIA FELIX.;                          ;           ;           ;      ;      ;D
  11851;OFNA. DE DESARROLLO Y MANTTO. DE SISTEMA;CLAUDIA PATRICIA ROJANO HERNANDEZ;                          ;           ;           ;      ;      ;D
  11852;OFNA. DE SOPORTE TECNICO Y CAPACITACION;MOISES GRANADOS RAMOS     ;                          ;           ;           ;      ;      ;D
  11900;DEPTO. DE ADMINISTRACION           ;CECELIA FELIPA ROSALES VELAZQUEZ;                          ;           ;           ;      ;      ;D
  11910;OFNA. DE RECURSOS FINANCIEROS      ;PERLA MIRIAM SOTO VARGAS  ;                          ;           ;           ;      ;      ;D
  11920;OFNA. DE RECURSOS MATERIALES       ;ESTEBAN HERNANDEZ CUELLAR ;                          ;           ;           ;      ;      ;D
  11921;ALMACEN ESTATAL ( OFNA.DE REC. MAT. );RDUARDO HERNANDEZ AGUADO  ; LAZARO CARDENAS SUAREZ IRIGOYEN 2;LAS FLORES ;CELAYA     ; 38020;      ;D
  11922;ALMACEN ESTATAL (ASIGNACION)       ;EDUARDO HERNANDEZ AGUADO  ;                          ;           ;           ;      ;      ;D
  11923;ALMACEN ESTATAL (PARA BAJA)        ;                          ;                          ;           ;           ;      ;0000000000;D
  11924;TALLER DE IMPRESION                ;LUIS FERNANDO FRANCO SIERRA;                          ;           ;           ;      ;0000000000;D
  11930;OFNA. DE RECURSOS HUMANOS          ;C.P. ESMERALDA HERNANDEZ ESCOGIDO;                          ;           ;           ;      ;      ;D
  11980;SOLICITUD DE BAJAS                 ;                          ;                          ;           ;           ;      ;0000000000;D
  I-11001-07;PLAZA DE AUDITORIO MUNICIPAL       ;ROBERTO ROA VELAZQUEZ     ; PORTAL CONTITUCIONAL No. 207;COL. CENTRO;VILLAGRAN  ; 38260;0000000000;P
  I-1100101;PLAZA COMUNITARIA LEON 01          ;LOURDES RAMIREZ MENDOZA   ; BLVD AGUSTIN TELLEZ CRUCES 3501 ESQ. ENRIQUE ARAND;           ;LEON       ; 37235;      ;P
  I-1100102;ITURBIDE YURIRIA                   ;VICTOR TREVIÑO CANSINO    ; PORTAL ITURBIDE S/N      ;ZONA CENTRO;YURIRIA    ;      ;      ;P
  I-1100103;RANCHO NUEVO DE LA CRUZ            ;SUSANA RAMIRZ CALDERON    ; PIPILA S/N, RANCHO NUEVO DE LA CRUZ;           ;ABASOLO    ;      ;0000000000;P
  I-1100104;DIF SAN PEDRO                      ;ROBERTO ROA VELAZQUEZ     ; ARNULFO DELGADO ESQ. NEZAHUALCOYOTL S/N;SAN PEDRO  ;SALAMANCA  ; 36760;4666487079;P
  I-1100105;PLAZA COMUNITARIA ALDAMA           ;FRANCISCO SANCHEZ RODRIGUEZ; CALLE PRINCIPAL S/N      ;ZONA CENTRO;ATARJEA    ;      ;0000000000;P
  I-1100106;VILLAS DE SAN JUAN                 ;FRANCISCO HERNANDEZ GARCIA; BLVD. CONSTELACIONES DE SAN JUAN ESQ. ANTONIO LOPE;VILLAS DE SAN JUAN;LEON, GTO  ; 37670;0000000000;P
  I-1100107;PLAZA DE AUDITORIO MUNICIPAL       ;ROBERTO ROA VELAZQUEZ     ; PORTAL CONSTITUCIONAL No. 207;CENTRO     ;SALAMANCA  ; 38260;0000000000;P
  I-1100108;DIF-CRIS                           ;MARIO RIOS RAMIREZ        ;                          ;           ;IRAPUATO   ;      ;0000000000;P
  I-1100201;PL@ZA COMUNITARIA CATRA FOVISSSTE  ;RENATO LOCON ARANDA       ; FCO. DEL PASO Y TRONCOSO S/N;FOVISSSTE  ;CELAYA     ; 38010;      ;P
  I-1100202;CERESO SAN MIGUEL ALLENDE          ;SALVADOR CANO VARGAS      ; CARR.SAN MIGUEL ALLENDE- QUERETARO KM 1.5;CENTRO     ;SAN MIGUEL ALLENDE;      ;      ;P
  I-1100203;IRAMUCO                            ;JUAN MANUEL FLORES GARCIA ; BENITO JUAREZ 147, COM. IRAMUCO;CENTRO     ;IRAMUCO (ACAMBARO); 38770;0000000000;P
  I-1100205;SANTIAGO DE CUENDA                 ;ROBERTO ROA VELAZQUEZ     ; CALLE PLAZA DIAZ ORDAZ S/N;ZONA CENTRO;JUVENTINO ROSAS;      ;0000000000;P
  I-1100207;FRANCISCO Z. MENA                  ;LOURDES MENDOZA RAMIREZ   ; BLVD. MARIANO ESCOBEDO ESQ. ROOSEVELT No. 3301;KENNEDY    ;LEON, GTO  ;      ;0000000000;P
  I-1100208;CONAFE                             ;C.P. MARIO RIOS RAMIREZ   ; PROLONGACION MORELOS S/N ;           ;IRAPUATO, GTO;      ;0000000000;P
  I-1100302;MAGISTERIAL                        ;FRANCISCO SACNHEZ RODRIGUEZ; AVENIDA FERROCARRIL No. 207 ENTRE N. HEROES Y SAN;MAGISTERIAL;SAN LUIS DE LA PAZ; 37900;      ;P
  I-1100303;APASEO EL GRANDE                   ;JOSE MIGUEL ACOSTA AGUILAR; JOSE MARIA MORELOS 308   ;CENTRO     ;APASEO EL GRANDE;      ;0000000000;P
  I-1100305;JUVENTINO ROSAS II                 ;ROBERTO ROA VELAZQUEZ     ; 16 DE SEPTIEMBRE S/N     ;ZONA CENTRO;JUVENTINO ROSAS;      ;0000000000;P
  I-1100307;CENTRO COMUNITARIO SAN JUAN DE RETANA;MARIO RIOS RAMIREZ        ; MALINALCO ESQ. NARVARTE S/N;SAN JUAN RETANA;IRAPUATO   ; 36825;0000000000;P
  I-1100308;CHUPICUARO                         ;JUAN MANUEL FLORES GARCIA ;                          ;           ;CHUPICUARO ;      ;0000000000;P
  I-1100402;FUERZA AEREA MOROLEON              ;JESUS MANUEL GRANADOS BLANCARTE; FUERZA AEREA Nº 10, ENTRE PEREZ BAEZA Y ROBERTO FI;AVIACION CIVIL;MOROLEON   ; 38853;      ;P
  I-1100403;DIF ALDAMA                         ;MARIO RIOS RAMIREZ        ; ALLENDE S/N              ;CENTRO     ;COMUNIDAD DE ALDAMA;      ;0000000000;P
  I-1100405;PLAZA COMUNITARIA EL REFUGIO       ;FRANCISCO SANCHEZ RODRIGUEZ; FRANCISCO I MADERO S/N   ;ZONA CENTRO;TIERRA BLANCA, GTO.;      ;0000000000;P
  I-1100502;DIF COLONIA GUANAJUATO             ;ROBERTO ROA VELAZQUEZ     ; ROSARIO CASTELLANOS ESQ. IRAPUATO;GUANAJUATO ;SALAMANCA  ; 36780;      ;P
  I-1100503;CENTRO NUTRICIONAL DE CELAYA       ;MANUEL ALMANZA NUÑEZ      ; MARTE Y JUAN BAUTISTA MORALES 313;ZONA DE ORO I;CELAYA     ; 38023;0000000000;P
  I-1100505;PLAZA COMUNITARIA OCAMPO           ;JOSE JORGE PEÑAFLOR RAMIREZ; JUAREZ No. 120           ;ZONA CENTRO;OCAMPO, GTO;      ;0000000000;P
  I-1100602;CERESO LEON                        ;ARIADNE LEAL GONZALEZ     ; CARR. LEON-CUERAMARO KM. 7.5;           ;LEON       ; 37000;0000000000;P
  I-1100603;DR. MORA                           ;FRANCISCO SANCHEZ RODRIGUEZ; PLAZA PRINCIPAL No. 17   ;CENTRO     ;DOCTOR MORA; 37960;0000000000;P
  I-1100702;PUNTO DE ENCUENTRO CEDOJ           ;MARIO RIOS RAMIREZ        ; TULA Nº 1530             ;C.F.E.     ;IRAPUATO   ; 36531;0000000000;P
  I-1100703;YERBABUENA                         ;SALVADOR CANO VARGAS      ; CALLE ROBLE S/N          ;ARROYO VERDE;LA YERBABUENA; 36251;0000000000;P
  I-1100802;PUNTO DE ENCUENTRO FIDEPO          ;MARIO RIOS RAMIREZ        ; DIVISION DEL NORTE Nº 160;3A. DE SAN GABRIEL;IRAPUATO   ; 36531;0000000000;P
  I-1100803;CENTRO DE DESARROLLO JAGUAR MAZAHUAS;SALVADOR CANO VARGAS      ; CALZADA DE LA ALAMEDA S/N;CENTRO     ;GUANAJUATO ; 36010;0000000000;P
  I-1100902;FIDEPO ACAMBARO                    ;JUAN MANUEL FLORES GARCIA ; AV. SAN ANTONIO ESQ. FELIPE ANGELES;SAN ISIDRO ;ACAMBARO   ;      ;0000000000;P
  I-1100903;SANTA CECILIA                      ;FRANCISCO HERNANDEZ GARCIA; CALLE DE LA CASTIDAD S/N ;CECILIA II ;LEON       ; 37105;0000000000;P
